ProtocolName	SequenceName	SeriesDescription	size
cmrr_mbep2d_se_lr	*epfid2d1_64	cmrr_mbep2d_se_lr	1
cmrr_mbep2d_se_rl	*epfid2d1_64	cmrr_mbep2d_se_rl	1
ep2d_bold_moco_p2_fMRI_8 Min	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_8 Min	5
ep2d_bold_moco_p2_fMRI_Audio	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Audio	2
ep2d_bold_moco_p2_fMRI_PREVENT Movie	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_PREVENT Movie	59
ep2d_bold_moco_p2_fMRI_Part1	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part1	53
ep2d_bold_moco_p2_fMRI_Part2	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part2	55
ep2d_bold_moco_p2_fMRI_Resting_State	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Resting_State	58
ep2d_bold_moco_p2_fMRI_Visual	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Visual	2
ep2d_bold_moco_s4_post_ch64	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64	8
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures	73
ep2d_bold_moco_s4_post_ch64_Pictures_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures_L-R	32
ep2d_bold_moco_s4_post_ch64_RESTING	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_RESTING	18
ep2d_bold_moco_s4_post_ch64_VIDEO	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO	43
ep2d_bold_moco_s4_post_ch64_VIDEO_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO_L-R	37
ep2d_diff_mddw_20_p2	*ep_b0	ep2d_diff_mddw_20_p2	1
ep2d_diff_mddw_20_p2	*ep_b0_3000	ep2d_diff_mddw_20_p2_ADC	1
ep2d_diff_mddw_20_p2	*ep_b0_3000	ep2d_diff_mddw_20_p2_FA	1
ep2d_diff_mddw_20_p2	*ep_b3000t	ep2d_diff_mddw_20_p2_TRACEW	1
ep2d_diff_mddw_64_p2	*ep_b0	ep2d_diff_mddw_64_p2	51
ep2d_diff_mddw_64_p2	*ep_b0_1000	ep2d_diff_mddw_64_p2_FA	51
ep2d_diff_mddw_64_p2	*ep_b1000t	ep2d_diff_mddw_64_p2_TRACEW	51
ep2d_tra_pasl_p2	*epfid2d1_64	ep2d_tra_pasl_p2	48
gre_field_mapping	*fm2d2r	gre_field_mapping	102
t2_swi_tra_p2_	*swi3d1r	mIP_Images(SW)	50
ep2d_tra_pasl_p2	*epfid2d1_64	relCBF	47
t1_fl3d_TRA_iso	*fl3d1	t1_fl3d_TRA_iso	2
t1_mprage_sag_p2	*tfl3d1_16ns	t1_mprage_sag_p2	42
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0	63
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0_ND	63
t1_mprage_sag_p2_iso	*tfl3d1_16ns	t1_mprage_sag_p2_iso	4
t1_mprage_sag_p3_iso	*tfl3d1_16ns	t1_mprage_sag_p3_iso	1
t1_petra_tra	*Petra3d1_400	t1_petra_tra	5
t1_petra_tra_FOV300	*Petra3d1_400	t1_petra_tra_FOV300	3
t2_haste_tra_p2	*h2d1_256	t2_haste_tra_p2	60
t2_space_dark-fluid_sag_c4_iso	*spcir_192ns	t2_space_dark-fluid_sag_c4_iso	1
t2_space_sag_iso_p4	*spcR_282ns	t2_space_sag_iso_p4	2
t2_stir_tra_p2_320_bilateral	*tir2d1rr4	t2_stir_tra_p2_320_bilateral	1
t2_tse_cor_Hippocampus	*tse2d1_16	t2_tse_cor_Hippocampus	49
t2_tse_dark-fluid_tra	*tir2d1_16	t2_tse_dark-fluid_tra	50
t2_tse_dark-fluid_tra	*tir2d1_17	t2_tse_dark-fluid_tra	27
t2_tse_dark-fluid_tra_FAST	*tir2d1_17	t2_tse_dark-fluid_tra_FAST	23
t2_tse_tra_512	*tse2d1_15	t2_tse_tra_512	1
t2_tse_tra_p2	*tse2d1_17	t2_tse_tra_p2	42
t2_tse_tra_p3	*qtse2d1_15	t2_tse_tra_p3	1
t2_tse_tra_p3_noisereduction	*qtse2d1_15	t2_tse_tra_p3_noisereduction	36
t2_tse_tra_p3_noisereduction	*tse2d1_15	t2_tse_tra_p3_noisereduction	1
